station_id;address;elev
33165;5130 Poinsetta Place, Mira Loma CA;221
33199;701 S Mt Vernon Ave (not actual location of tower), San Bernardino CA 92410;320
33201;445 W Murphy St, Blythe CA 92225;84
33601;Lincoln Ave. & 73rd Ave., Mecca CA 92254;-63
33602;100-225 State Park Rd., North Shore CA 92254;-60
34277;2221 Stockton Bl, Sacramento CA 95817;8
34279;100 Bercut Drive, Sacramento CA 95814;10
34284;3847 Branch Center Rd., Sacramento CA 95827;23
34294;7823 Blackfoot Way, North Highlands CA 95660;33
34295;2701 Avalon Dr., Sacramento CA 95821;30
34305;1309 T Street, Sacramento CA 95814;15
34310;12490 Bruceville Road, Elk Grove CA 95758;7
34311;50 Natoma St, Folsom CA 95630;108
34312;7520 Sloughhouse Rd, Sloughhouse CA 95683;59
34315;68 Goldenland Ct., Sacramento CA 95834;4
35823;1979 Fairview Rd, Hollister CA 95023;133
35824;5000 Hwy 146, Paicines CA 95043;320
36001;501 Valley Bl, Big Bear City CA 92314;2062
36035;NW Corner of Interstate 10 & Etiwanda Ave, Ontario CA 91764;303
36036;2330 S. Castle Harbour, Ontario CA 91761;251
36150;Joshua Tree National Park, Joshua Tree National Monument CA;991
36151;, Joshua Tree National Monument CA 92239;330
36152;Black Rock, Joshua Tree NP CA 92252;1244
36153;47411 Canyon Back Rd, Kelso CA 92309;1212
36155;301 E. Mountain View St., Barstow CA 92311;697
36175;1350 San Bernardino Rd, Upland CA 91786;386
36181;24171 Lake Dr, Crestline CA 92325;1390
36197;14360 Arrow Highway, Fontana CA 92335;364
36201;17288 Olive St, Hesperia CA 92340;969
36203;24302 E. 4th St, San Bernardino CA 92410;317
36204;500 N. Dearborn, Redlands CA 92374;476
36207;Beekley and Phelan Rd, Phelan CA 92371;1278
36208;8560 Aliento Rd, Lucerne Valley CA 92356;986
36220;Telescope & Athol, Trona CA 93562;504
36306;14306 Park Av, Victorville CA 92392;913
39252;1593 E Hazelton St, Stockton CA 95205;10
39271;5749 S. Tracy Blvd., Tracy CA 95376;65
40833;899 Morro Bay Bl, Morro Bay CA 93422;48
40836;3220 South Higuera Street, Suite 330, San Luis Obispo CA 93405;55
40844;9 Le Sage Dr, Grover Beach CA 93433;6
40848;5599 Traffic Way, Atascadero CA 93422;258
40849;1300 Guadalupe Road, Nipomo CA 93444;42
40850;235 Santa Fe Av, Paso Robles CA 93446;252
40852;W. Tefft St & Pomeroy Rd, Nipomo CA 93444;126
40853;2391 Willow Road, Arroyo Grande CA 93420;35
40990;9640 Carrizo Highway,  CA;615
40999;3601 Gillis Canyon Road, San Luis Obispo CA;711
41539;620 Airport Drive, San Carlos CA 94070;1
41541;897 Barron Av, Redwood City CA 94063;4
42037;Calle Real & State Hwy 1, Capitan CA;13
42098;3602 Harris Grade Rd, Lompoc CA 93436;188
42101;Calle Real & State Hwy 1, Capitan CA 93117;190
42369;900 Airport Rd, Santa Ynez CA 93460;205
42370;US Hwy 101, El Capitan State Beach CA 93117;32
42381;128 S. H Street, Lompoc CA 93436;32
42390;STS Power Plant, Vandenburg AFB CA;95
42394;HS & P Facility, Lompoc CA 93436;240
42395;Paradise Road, Los Padres National Forest CA 93105;370
42399;US Hwy 101 & Nojoqui Pass, Gaviota CA 93117;300
42401;Exxon #10, Goleta CA 93117;11
42402;Gobernador Road, Carpinteria CA 93013;128
42404;380 N. Fairview Av, Goleta CA 93117;16
42408;906 S. Broadway, Santa Maria CA 93454;72
42409;700 E. Canon Perdido, Santa Barbara CA 93103;10
43380;306 University Av, Los Gatos CA 95030;117
43381;2500 Cunningham Avenue, San Jose CA 95122;41
43383;158 E Jackson St, San Jose CA 95112;27
43385;1007 Knox Ave, San Jose CA 95122;31
43389;9th and Princevalle, Gilroy CA 95020;63
43393;13030 Murphy Av, San Martin CA 95046;84
44200;960 Bostwick Lane, Santa Cruz CA 95062;29
44858;7179 Hacienda Way, Felton CA 95018;108
45555;2630 Breslauer Way, Redding CA 96001;156
45566;West Entrance, Lassen Volcanic National Park CA 96071;1769
45567;2220 North St, Anderson CA 96007;136
47861;530 S. Foothill Dr., Yreka CA 96097;803
47873;4066 La Mesa Ave, Shasta Lake CA 96019;250
47875;13791 Lake Blvd., Shasta Lake CA 96019;271
48879;304 Tuolumne St, Vallejo CA 94590;6
48880;1010 Chadbourne Rd., Fairfield CA 94585;7
48881;650 Merchant St, Vacaville CA 95688;61
48884;2012 Ulatis Drive, Vacaville CA 95687;33
49886;100 S. Washington St, Cloverdale CA 95425;107
49891;103 Morris Street - Suite T, Sebastopol CA 95472;23
49895;16255 First Street, Guerneville CA 95446;20
49898;133 Matheson St, Healdsburg CA 95448;38
49899;200 Heidelberg Way, Healdsburg CA 95448;82
50568;814 14th Street, Modesto CA 95354;33
50573;1034 S Minaret St, Turlock CA 95380;32
51898;773 Almond St, Yuba City CA 95991;18
51899;Top of South Butte, Sutter Buttes CA;645
52903;1834 Walnut St, Red Bluff CA 96080;100
52910;Fire Lookout Atop Tuscan Butte, Tuscan Butte CA;562
53915;Court & Church Sts, Weaverville CA 96093;631
54000;Visalia Municipal Airport, Visalia CA 93227;90
54009;Ash Mountain, Sequoia National Park CA;515
