station_id|station_name|address|lat|lon|source|
Boqueirão|Boqueirão|-|-25.516325999999999396550265373662114143|-49.225189000000000305590219795703887939|http://www.iap.pr.gov.br|
Praça Ouvidor Pardinho|Praça Ouvidor Pardinho|-|-25.44429299999999827264218765776604414|-49.271307999999997662143869092687964439|http://www.iap.pr.gov.br|
Santa Cândida|Santa Cândida|-|-25.37340899999999876968104217667132616|-49.212656000000002620708983158692717552|http://www.iap.pr.gov.br|
CIC|CIC|-|-25.499562999999998424982550204731523991|-49.340947999999997364284354262053966522|http://www.iap.pr.gov.br|
Assis Automática|Assis Automática|-|-25.576084999999999070041667437180876732|-49.405133999999996774477040162310004234|http://www.iap.pr.gov.br|
CSN|CSN|-|-25.568844999999999600959199597127735615|-49.382167000000002587967173894867300987|http://www.iap.pr.gov.br|
REPAR|REPAR|-|-25.563379000000001184389475383795797825|-49.367947999999998387465893756598234177|http://www.iap.pr.gov.br|
UEG|UEG|-|-25.587627999999998706925907754339277744|-49.405549000000000603449734626337885857|http://www.iap.pr.gov.br|
