X,Y,station_id,station_name,lon,lat,address
-46.321170093654104,-23.963057204247367,82,Santos,365576,7349234,"Rua Dr.Oswaldo Cruz, 197 Boqueirâo - Santos Hospital Guilherme Alvaro"
-46.300509593541364,-23.981295157364347,83,Santos-Ponta da Praia,367697,7347234,"Praça Eng° José Rebouças, s/n° Ponta da Praia – Santos"
-46.584667885886212,-23.67135395710703,19,S.Bernardo-Paulicéia,338401,7381261,"Rua Xavier de Toledo, 521 Vila Paulicéia - Sâo Bernardo do Campo E.M. de Ensino Bâsico Arlindo Ferreira"
-46.546232186719045,-23.698671086452034,38,S.Bernardo-Centro,342354,7378279,"Rua dos Vianas, 625 - Bairro Baeta Neves, Sâo Bernardo do Campo"
-46.556353937508227,-23.618442772969271,7,São Caetano do Sul,341225,7387152,"Av. Presidente Kennedy, 700 Santa Paula - Sâo Caetano do Sul Hospital Municipal de Emergências Albert Sabin"
-45.871197623077734,-23.187887330251787,55,S.José Campos,410840,7435414,"Rua Ana Gonçalves Cunha, 40 Monte Castelo - Sâo José dos Campos Obra Social Célio Lemos"
-45.83089698463295,-23.183697345139151,57,S.José Campos-Vista Verde,414962,7435902,"Rua Estados Unidos, 435 Vista Verde - Sâo José dos Campos EMEF Prof. Waldemar Ramos"
-47.479029911632416,-23.502426584304089,51,Sorocaba,246841,7398675,"Rua Nhonhô Pires, 260 Vila Lucy – Sorocaba Escola Estadual Monsenhor Joâo Soares"
-46.758294367820547,-23.60932386417479,20,Taboão da Serra,320607,7387923,"Praça Nicola Vivilechio, 99 Jd. Bom Tempo - Taboâo da Serra"
-47.870799066485361,-23.360751537850906,94,Tatuí,206499,7413627,"Rua Ruy Barbosa, 601 Vila Valinho – Tatui Escola de Enfermagem Dr. Gualter Nunes"
-47.57579903163785,-23.032345622946725,58,Taubaté,236029,7450577,"Rua Espanha, 308 Jardim das Naçoes-Taubaté"
-48.185831813209525,-21.782522145740874,71,Araraquara,791007,7588591,"Av. Angelo Hortence, 1990 Centro - Araraquara - Ginasio da Pista Guilherme Fragoso Ferrâo / Centro Esportivo Domingos Savio"
-49.092759305389606,-22.326608396586575,73,Bauru,696439,7529779,"Rua Castro Alves, Q4 Vila Souto – Bauru 12° Grupamento de Bombeiros"
-48.56745740479537,-22.298619663522921,75,Jaú,750614,7532100,"Rua 24 de Maio, 943 Vila Nova Jau – Jau 27° Batalhâo da Policia Militar do Interior"
-48.983075270558253,-21.141942757600823,81,Catanduva,709450,7660813,"Rua Fortaleza, 1310 Vila Rodrigues – Catanduva Reservatorio Santo Antônio (Caixa D'Agua)"
-50.43931684988442,-21.186841099875156,72,Araçatuba,558199,7657071,"Rua Clovis Pestana, 801A Jd.Dona Amélia - Araçatuba UNESP - Campus da Odontologia"
-49.95996974614981,-22.199809487122796,76,Marília,607206,7544689,"Rua Pascoal Moreira, 250 Lorenzetti - Marilia Unidade Basica de Saude"
-51.408777068021486,-22.119936734765833,78,Presidente Prudente,457841,7553841,"Rua Roberto Simonsen, 464 Vila Sta.Helena - Presidente Prudente UNESP - Laboratorio de Climatologia"
-49.398277792871994,-20.784689283929978,80,São José do Rio Preto,666719,7700854,"Rua Jales, 3055 - Eldorado - Sâo José do Rio Preto - Campo de Atletismo Eldorado"
