station_id|station_name|lon|lat|address
71|Araraquara|791007|7588591|Av. Angelo Hortence, 1990 Centro - Araraquara - Ginasio da Pista Guilherme Fragoso Ferrâo / Centro Esportivo Domingos Savio
73|Bauru|696439|7529779|Rua Castro Alves, Q4 Vila Souto – Bauru 12° Grupamento de Bombeiros
75|Jaú|750614|7532100|Rua 24 de Maio, 943 Vila Nova Jau – Jau 27° Batalhâo da Policia Militar do Interior
81|Catanduva|709450|7660813|Rua Fortaleza, 1310 Vila Rodrigues – Catanduva Reservatorio Santo Antônio (Caixa D'Agua)
72|Araçatuba|558199|7657071|Rua Clovis Pestana, 801A Jd.Dona Amélia - Araçatuba UNESP - Campus da Odontologia
76|Marília|607206|7544689|Rua Pascoal Moreira, 250 Lorenzetti - Marilia Unidade Basica de Saude
78|Presidente Prudente|457841|7553841|Rua Roberto Simonsen, 464 Vila Sta.Helena - Presidente Prudente UNESP - Laboratorio de Climatologia
80|São José do Rio Preto|666719|7700854|Rua Jales, 3055 - Eldorado - Sâo José do Rio Preto - Campo de Atletismo Eldorado
