lon;lat;station_id;station_name;address;elev
-97.0812859524689;36.6972037468372;604;Ponca City;-;
-95.8823387347222;36.9081099957155;217;Copan;-;
-95.302267544136;35.7931228317618;167;Muskogee;-;
-95.2649557387336;36.2257845903371;188;Pryor;-;
-95.2865662209839;35.7768790842877;170;Ft Gibson;-;
-97.7514929864197;35.4792353857976;101;Yukon;-;
-97.484099;35.320105;049;Moore;-;
-96.3612160271606;36.1054627968065;144;Mannford;-;
-97.4738190339508;35.159649;1073;Goldsby;-;
-97.4940261163559;35.4775415799782;033;OKC;-;
-97.3030590203705;35.4777724593735;096;Choctaw;-;
-95.784426272068;34.885593625332;415;McAlester;-;
-95.7645570271606;36.1337534756481;178;Lynn Lane;-;
-96.0117090611114;36.149815346267;175;Tulsa;-;
-97.5268646944428;35.4728669927523;035;OKC;-;
-95.9989334898148;36.126978363389;235;Tulsa;-;
-95.8894009864197;34.3154241541224;01;McGee Creek;-;
-96.0049875169754;35.9536694969212;174;Glenpool;-;
-97.0707619253082;34.1032444008556;04;Lake Murray;-;
-98.7094268777771;34.7342705729876;06;Wichita Mtns;-;
-98.9319417075615;36.1583958090807;860;Seiling;-;
-98.4287824898148;34.6329079063734;651;Lawton North;-;
-97.475083;35.614131;1037;OKC;-;
-96.0158349864197;36.1548380852214;179;Tulsa Riverside;-;
-95.9379467415123;36.154369;1110;Tulsa Turner Park;-;
-98.6834574558639;35.5602514886843;856;Weatherford;-;
-97.70748;34.87696;065;Bradley;-;
-95.9766095984573;36.204925230157;1127;Tulsa;-;
-97.5776460339508;35.5029571265259;097;OKC;-;
-96.0124124762344;36.355864032222;226;Skiatook;-;
-97.4629279316368;34.244197223106;297;Healdton;-;
-97.8568198794051;36.5083614384118;555;Kremlin;-;
-98.0354189660492;34.2266027775304;671;Waurika;-;
-97.2759260407409;33.8808390181063;300;Burneyville;-;
-96.4057159660492;33.9453763837124;380;Durant;-;
-95.8436369932098;34.829416549273;416;Savanna;-;
