№;X;Y
1;5388582.624;4592724.144
2;5388592.831;4593081.605
3;5388320.688;4592892.259
4;5388318.268;4592889.374
5;5388296.025;4592856.372
6;5388423.381;4592788.041
7;5388424.951;4592787.84
8;5388426.753;4592787.893
9;5388428.488;4592788.174
10;5388430.656;4592789.079
