X;Y;station_id;name;address;lat;lon;address_1
-87.577898308876669;38.013283303181588;15;Evansville-Buena Vista Rd;1110 W. Buena Vista Rd.;38.013333000000003;-87.577222000000006;116
-87.341255034663419;38.193825604464813;20;Lynnville;Tecumseh HS 5244 State Rd. 68;38.194167000000000;-87.341389000000007;133
-87.536862546176792;38.113920330602909;24;Inglefield;14940 Old State Rd (Scott School);38.113889000000000;-87.536666999999994;157
-87.718379145905928;38.006433540410889;33;St. Philips;2027 South St.Phillips Rd.;38.005277999999997;-87.718056000000004;137
-87.596893896046979;37.977650291129493;46;Evansville-Lloyd;10 S. 11th Ave.;37.977221999999998;-87.596389000000002;117
-86.60325;38.115152;49;Leopold;19856 Old St Rd 37/Perry Central HS;38.115152000000002;-86.603250000000003;201
-87.322006937452613;37.954456675633828;52;Dayville;3488 Eble Rd.;37.954444000000002;-87.321667000000005;92
-85.664143022588959;38.393814329557181;4;Charlestown State Park;12500 State Rd. 62/Charlestown State Park;38.393822999999998;-85.664118000000002;171
-86.959183857323069;38.369490257931538;53;Jasper Sport;1401 12th Ave.;38.369444000000001;-86.959166999999994;149
-86.990404575754184;38.985433156697461;67;Plummer;2500 S. 275 W.;38.985556000000003;-86.989999999999995;160
-86.080537750157717;38.920816966534652;59;Brownstown;225 W & 300 N (Jackson County Water Utility Inc.);38.920834999999997;-86.080522999999999;171
-85.834358304055797;38.307934908516884;3;New Albany;2230 Green Valley Rd.;38.307912999999999;-85.834312999999995;140
-85.656394040178199;40.00251860044547;25;Emporia;893 E. US 36 (East Elem Sch);40.002510999999998;-85.656390999999999;274
