station_id|station_name|lon|lat|address
MALEMBA|MALEMBA|550041|8598515|-
LAMARAO|LAMARAO|565326|8607523|-
CAMARA|CAMARA|573678|8595277|-
MACHADINHO|MACHADINHO|577712|8589634|-
ESCOLA|ESCOLA|578933|8603083|-
CONCORDIA|CONCORDIA|573248|8606556|-
GRAVATA|GRAVATA|572356|8597454|-
COBRE|COBRE|569665|8603667|-
AREIAS|AREIAS|584223|8584728|-
LEANDRINHO|LEANDRINHO|567887|8602418|-
FUTURAMA II|FUTURAMA II|568664|8600779|-
